workerid	Answer.buyers	Answer.gender	Answer.domains	Answer.utteredPricesRounded	Answer.utteredTypes	Answer.actualPricesRounded	Answer.actualTypes	Answer.affects	Answer.nativeLanguage	Answer.orders	Answer.income	Answer.age	Answer.sentenceIDs	Answer.utteredPrices	Answer.actualPrices
A3VID10OBZ6FUG	Zach,Robert,Owen,Ivan,Jake,Quinn,Gary,Daniel,Fred,Tom,Steve,Barry,Patrick,Kenneth,Frank,Alex,Ethan,Victor,Albert,George,Matt,Harry,Nathan,Charles,David,Calvin,Luke,Winston,Eric,Bob	F	electric kettle,electric kettle,watch,electric kettle,laptop,electric kettle,watch,watch,electric kettle,laptop,electric kettle,laptop,laptop,watch,watch,laptop,watch,electric kettle,electric kettle,electric kettle,watch,electric kettle,laptop,electric kettle,watch,electric kettle,laptop,electric kettle,watch,electric kettle	1000,10000,5000,500,1000,10000,10000,10000,5000,500,5000,50,1000,10000,500,500,50,500,10000,500,500,5000,1000,500,10000,5000,10000,5000,5000,5000	round,round,sharp,round,round,sharp,round,round,sharp,sharp,sharp,round,round,sharp,round,round,sharp,round,round,sharp,sharp,round,round,round,sharp,sharp,round,sharp,sharp,round	500,10000,50,500,500,500,5000,10000,500,50,50,50,1000,10000,500,50,50,500,1000,500,500,1000,1000,50,50,50,10000,500,50,1000	round,sharp,sharp,round,sharp,round,round,round,sharp,round,round,sharp,sharp,sharp,sharp,sharp,round,sharp,sharp,sharp,sharp,round,round,sharp,sharp,sharp,round,round,round,sharp	2.16102319533,0.167846461773,-0.88119392431,0.692366654815,-0.356673731268,-0.461577769877,0.587462616207,1.63650300229,-0.25176969266,-0.88119392431,-0.88119392431,-1.09100200153,-0.25176969266,1.21688684786,0.692366654815,-1.19590604013,-0.356673731268,0.797270693423,-0.776289885701,1.00707877064,1.11198280925,-0.461577769877,1.11198280925,-0.88119392431,-1.30081007874,-1.30081007874,1.7414070409,-0.25176969266,-0.986097962918,-0.356673731268	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	35	8,30,107,4,131,52,84,85,48,153,43,122,132,120,66,125,91,6,28,36,96,15,129,5,116,47,145,44,103,19	1000,10000,4997,500,1000,10002,10000,10000,4999,503,5003,50,1000,10003,500,500,52,500,10000,503,499,5000,1000,500,9997,5003,10000,5002,4997,5000	500,9999,52,500,499,500,5000,10000,498,50,50,47,1001,10003,499,52,50,499,1003,503,499,1000,1000,53,47,51,10000,500,50,997
A2Y8CPGC4IJPSK	Daniel,Matt,Tom,Patrick,George,Fred,Robert,Quinn,Kenneth,Zach,Albert,Bob,Eric,Frank,Luke,Winston,Calvin,Harry,Alex,Charles,Nathan,Jake,Barry,Ethan,Victor,Gary,Ivan,Steve,Owen,David	M	electric kettle,watch,electric kettle,laptop,watch,electric kettle,laptop,laptop,watch,electric kettle,laptop,watch,laptop,electric kettle,laptop,laptop,laptop,laptop,laptop,laptop,electric kettle,watch,watch,electric kettle,electric kettle,watch,watch,laptop,laptop,electric kettle	10000,10000,10000,10000,500,500,5000,5000,50,5000,10000,1000,1000,5000,10000,50,5000,10000,500,1000,1000,10000,10000,50,1000,5000,5000,10000,1000,1000	round,round,sharp,round,round,sharp,sharp,sharp,sharp,sharp,round,round,sharp,round,sharp,round,sharp,sharp,sharp,round,round,round,sharp,round,sharp,sharp,sharp,sharp,round,round	5000,5000,1000,1000,500,500,5000,50,50,5000,500,500,1000,50,50,50,500,10000,50,1000,500,500,5000,50,50,500,50,1000,500,50	sharp,round,round,sharp,round,sharp,round,round,round,round,round,sharp,sharp,round,sharp,round,round,sharp,sharp,round,round,sharp,round,sharp,sharp,round,sharp,round,sharp,sharp	1.75102591843,1.75102591843,0.906232712168,0.906232712168,0.983032094555,0.215038270684,0.215038270684,0.983032094555,0.215038270684,0.215038270684,-0.552955553187,-0.4761561708,0.215038270684,0.215038270684,-1.24414999467,0.215038270684,-1.32094937706,0.215038270684,0.215038270684,0.829433329781,1.59742715365,0.983032094555,-1.0905512299,-0.399356788413,-1.16735061228,-1.32094937706,-1.32094937706,-1.24414999467,-1.24414999467,-1.24414999467	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	0	25	29,84,53,148,64,36,166,163,91,46,142,71,162,13,176,121,164,180,155,129,8,87,114,2,40,104,107,173,131,10	10000,10000,10002,10000,500,498,5002,4998,53,4997,10000,1000,998,5000,10003,50,5001,10002,501,1000,1000,10000,10001,50,1002,4998,5001,9999,1000,1000	4999,5000,1000,1001,500,498,5000,50,50,5000,500,501,998,50,52,50,500,10002,49,1000,500,499,5000,49,53,500,49,1000,497,48
A1CA1PH52XPXPR	Gary,Charles,Ethan,Owen,Daniel,Zach,Luke,Tom,Patrick,Quinn,Matt,Eric,Frank,Calvin,Harry,David,Fred,George,Albert,Jake,Nathan,Victor,Steve,Ivan,Kenneth,Alex,Winston,Bob,Robert,Barry	F	electric kettle,electric kettle,electric kettle,laptop,electric kettle,laptop,laptop,electric kettle,electric kettle,watch,electric kettle,laptop,laptop,electric kettle,laptop,watch,laptop,watch,electric kettle,electric kettle,laptop,electric kettle,laptop,electric kettle,watch,electric kettle,laptop,laptop,electric kettle,watch	5000,5000,10000,5000,10000,5000,5000,1000,1000,500,500,10000,10000,500,50,500,10000,10000,5000,10000,50,1000,10000,1000,5000,1000,500,5000,10000,5000	round,round,sharp,round,round,round,sharp,sharp,round,round,round,sharp,round,sharp,sharp,round,sharp,round,sharp,sharp,round,sharp,sharp,sharp,round,sharp,round,round,round,sharp	5000,50,5000,1000,10000,1000,5000,500,50,50,50,10000,5000,500,50,500,10000,1000,50,5000,50,50,5000,50,500,1000,50,5000,500,50	sharp,round,sharp,sharp,round,round,round,sharp,round,sharp,round,round,sharp,round,sharp,round,sharp,sharp,round,round,sharp,sharp,round,round,round,round,sharp,sharp,round,round	0.0356779008397,0.911408194178,0.911408194178,-1.2292658562,-0.450838928793,-1.03465912435,-1.61847931991,0.132981266766,1.20331829196,0.911408194178,0.911408194178,-0.450838928793,0.619498096399,-0.450838928793,-1.42387258806,-1.42387258806,-1.42387258806,0.522194730472,0.522194730472,0.911408194178,-0.450838928793,0.619498096399,0.424891364546,0.716801462325,1.30062165788,-1.52117595398,0.522194730472,-1.71578268584,0.911408194178,1.10601492603	english	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	6	17	20,13,59,139,25,135,166,41,7,65,3,175,149,34,152,64,180,88,43,54,122,40,174,37,74,39,125,140,22,103	5000,5000,9998,5000,10000,5000,4999,1003,1000,500,500,10003,10000,502,49,500,10003,10000,4997,10001,50,997,9998,998,5000,1003,500,5000,10000,4997	4997,50,4998,998,10000,1000,5000,501,50,53,50,10000,5002,500,49,500,10003,997,50,5000,53,52,5000,50,500,1000,53,5002,500,50
A3LNPBZXHKKAA7	Calvin,Barry,Bob,Alex,Robert,Fred,Gary,David,Kenneth,Steve,Winston,Ethan,Nathan,Owen,Patrick,Ivan,Victor,Matt,Frank,Jake,George,Daniel,Eric,Tom,Charles,Luke,Albert,Zach,Quinn,Harry	F	laptop,watch,watch,electric kettle,electric kettle,watch,electric kettle,laptop,watch,laptop,electric kettle,watch,laptop,laptop,electric kettle,electric kettle,laptop,electric kettle,watch,laptop,electric kettle,electric kettle,watch,watch,watch,electric kettle,electric kettle,laptop,electric kettle,electric kettle	1000,1000,10000,10000,10000,1000,1000,5000,10000,500,5000,5000,1000,5000,50,10000,10000,10000,10000,50,1000,5000,500,5000,10000,5000,5000,10000,10000,10000	sharp,round,round,sharp,round,round,sharp,round,round,round,sharp,sharp,sharp,sharp,round,sharp,round,round,round,round,round,sharp,round,round,sharp,round,sharp,sharp,round,sharp	50,500,1000,1000,50,500,1000,500,5000,50,5000,5000,50,1000,50,50,500,10000,10000,50,500,1000,500,500,500,50,500,10000,5000,50	round,round,sharp,round,sharp,sharp,sharp,sharp,sharp,sharp,round,round,sharp,sharp,sharp,sharp,round,sharp,round,round,round,round,round,round,sharp,round,round,sharp,round,round	1.73264837557,0.173264837557,0.173264837557,-0.693059350229,-0.693059350229,0.0,1.03958902534,-0.693059350229,0.0,-2.4257077258,1.03958902534,1.2128538629,-2.4257077258,0.519794512672,1.2128538629,-0.693059350229,0.173264837557,1.03958902534,1.03958902534,-0.693059350229,-0.519794512672,0.0,1.03958902534,-0.693059350229,-0.693059350229,-0.519794512672,-0.693059350229,1.03958902534,0.173264837557,-0.173264837557	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	8	45	157,68,88,53,26,71,42,138,89,125,46,106,160,169,2,56,142,30,85,121,8,45,64,74,117,13,44,180,24,51	998,1000,10000,10001,10000,1000,999,5000,10000,500,4998,4999,1002,5003,50,10002,10000,10000,10000,50,1000,4997,500,5000,9998,5000,5002,9997,10000,10002	50,500,997,1000,52,503,999,501,5001,49,5000,5000,49,1001,53,51,500,10002,10000,50,500,1000,500,500,502,50,500,9997,5000,50
A3PRX6CU0P34NE	Ethan,Barry,Frank,Charles,David,Patrick,Zach,Nathan,Robert,Bob,Matt,George,Owen,Steve,Gary,Alex,Eric,Tom,Daniel,Luke,Albert,Fred,Quinn,Kenneth,Calvin,Winston,Victor,Harry,Jake,Ivan	M	watch,electric kettle,watch,watch,electric kettle,electric kettle,watch,laptop,watch,laptop,watch,watch,laptop,laptop,electric kettle,laptop,watch,electric kettle,laptop,laptop,watch,watch,laptop,laptop,watch,laptop,laptop,electric kettle,watch,laptop	10000,5000,10000,5000,5000,5000,10000,10000,500,10000,1000,1000,1000,50,10000,5000,1000,10000,10000,10000,10000,5000,10000,10000,10000,1000,500,5000,500,500	round,round,round,sharp,sharp,sharp,round,sharp,sharp,sharp,sharp,sharp,round,round,sharp,sharp,round,sharp,round,round,sharp,sharp,sharp,sharp,sharp,sharp,round,round,round,sharp	50,500,10000,500,50,5000,50,500,500,50,500,50,1000,50,1000,500,50,1000,1000,10000,1000,50,1000,1000,10000,1000,50,5000,500,500	round,round,sharp,sharp,sharp,round,sharp,sharp,round,sharp,round,sharp,round,round,sharp,sharp,round,round,sharp,round,round,round,sharp,round,round,sharp,sharp,round,sharp,round	0.896668148155,0.690273945255,-0.960879677946,0.690273945255,0.759072012888,-0.960879677946,1.10306235105,0.759072012888,-1.23607194848,1.10306235105,0.415081674721,0.208687471821,-1.23607194848,-1.64886035428,0.827870080521,0.621475877621,0.483879742354,0.690273945255,0.759072012888,-0.960879677946,0.965466215788,0.690273945255,0.621475877621,0.759072012888,-1.64886035428,-1.30487001611,0.759072012888,-1.23607194848,-0.960879677946,-1.64886035428	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	25	81,14,90,108,47,46,86,177,94,176,98,100,129,121,58,168,67,53,148,145,113,103,178,173,115,162,125,16,66,154	10000,5000,10000,4998,5003,5003,10000,9999,501,10002,1002,1003,1000,50,10002,5001,1000,9997,10000,10000,10001,4999,9999,9997,9997,998,500,5000,500,498	50,500,10002,499,53,5000,47,499,500,49,500,52,1000,50,999,497,50,1000,998,10000,1000,50,998,1000,10000,998,49,5000,498,500
A3862RIFFUV141	Fred,Gary,Frank,Charles,Bob,Winston,Quinn,Luke,Calvin,Barry,Eric,David,Daniel,Kenneth,Steve,Alex,Ethan,Matt,Jake,Victor,George,Robert,Owen,Patrick,Albert,Zach,Tom,Nathan,Ivan,Harry	M	electric kettle,watch,laptop,electric kettle,electric kettle,laptop,laptop,electric kettle,watch,electric kettle,watch,laptop,electric kettle,electric kettle,laptop,laptop,watch,watch,electric kettle,electric kettle,laptop,electric kettle,laptop,laptop,laptop,laptop,laptop,laptop,electric kettle,laptop	10000,10000,10000,5000,5000,10000,10000,50,5000,500,10000,5000,1000,10000,10000,5000,5000,10000,10000,5000,500,5000,500,10000,1000,500,10000,1000,10000,50	sharp,sharp,sharp,sharp,round,round,sharp,round,sharp,sharp,sharp,sharp,sharp,round,round,round,sharp,sharp,round,round,round,round,sharp,round,sharp,round,sharp,round,sharp,sharp	1000,1000,50,500,50,5000,10000,50,500,50,5000,1000,1000,1000,500,1000,1000,50,10000,50,50,5000,50,5000,50,500,5000,1000,1000,50	sharp,round,sharp,round,round,sharp,sharp,sharp,sharp,round,round,sharp,round,sharp,round,sharp,sharp,round,round,sharp,sharp,sharp,round,round,sharp,round,round,sharp,round,round	1.09783974781,0.80179307424,-1.49256864589,0.653769737458,-0.826463630371,0.875804742632,1.09783974781,-1.56658031429,0.357723063892,-0.0863469464567,0.80179307424,0.2837113955,0.505746400675,0.875804742632,0.135688058718,0.579758069066,0.209699727109,-1.27053364072,1.09783974781,-1.19652197233,-1.4185569775,0.875804742632,-1.64059198268,1.02382807941,-1.4185569775,-0.382393620022,0.875804742632,0.209699727109,0.653769737458,-1.71460365107	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	45	58,113,176,44,13,149,180,2,108,33,114,169,39,28,142,139,109,111,25,17,125,20,153,144,160,124,174,132,53,151	9998,9998,10002,4998,5000,10000,10002,50,4999,501,9998,5003,1003,10000,10000,5000,4998,10003,10000,5000,500,5000,503,10000,1002,500,9998,1000,9998,52	998,1000,52,500,50,4998,10002,52,498,50,5000,997,1000,1002,500,1003,1001,50,10000,51,52,5001,50,5000,52,500,5000,998,1000,50
A2V9WRIAL9CJZT	Ethan,Quinn,Albert,Eric,Nathan,Calvin,David,Gary,Alex,Harry,Frank,Barry,Winston,Owen,Zach,Matt,Steve,Jake,Robert,Luke,Patrick,Ivan,Daniel,Charles,Kenneth,Fred,Tom,George,Bob,Victor	F	watch,watch,electric kettle,electric kettle,watch,watch,watch,electric kettle,electric kettle,electric kettle,laptop,electric kettle,laptop,laptop,laptop,electric kettle,watch,laptop,watch,electric kettle,watch,electric kettle,watch,watch,watch,laptop,watch,electric kettle,watch,laptop	5000,1000,1000,500,10000,10000,10000,5000,10000,500,50,1000,10000,10000,1000,5000,10000,10000,10000,5000,5000,10000,5000,5000,50,500,50,50,5000,10000	round,round,round,round,round,sharp,round,sharp,sharp,round,sharp,round,sharp,round,round,round,round,sharp,round,round,sharp,round,round,sharp,sharp,round,sharp,round,round,sharp	500,50,50,500,500,50,500,1000,5000,50,50,500,50,1000,50,1000,10000,5000,10000,50,1000,50,1000,5000,50,500,50,50,50,1000	sharp,sharp,sharp,sharp,sharp,sharp,round,sharp,round,sharp,round,sharp,round,round,round,sharp,sharp,sharp,round,round,sharp,sharp,round,round,sharp,round,round,round,round,round	-0.448252717661,-1.05950642356,-0.906692997087,1.38550840004,-0.753879570612,-0.753879570612,0.621441267667,1.38550840004,1.53832182652,-0.753879570612,1.53832182652,0.315814414716,-1.21231985004,-0.14262586471,-0.753879570612,-0.601066144136,1.84394867947,0.468627841191,2.3023889589,-0.906692997087,0.315814414716,-1.05950642356,-0.295439291186,0.621441267667,-0.295439291186,0.315814414716,-0.601066144136,-1.05950642356,-0.601066144136,-0.448252717661	english	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	0	45	78,70,10,6,87,116,82,49,54,5,151,11,171,143,127,19,90,179,85,13,109,26,75,106,92,124,91,1,73,173	5000,1000,1000,500,10000,10002,10000,5002,9998,500,53,1000,10002,10000,1000,5000,10000,10003,10000,5000,5002,10000,5000,4998,47,500,47,50,5000,9997	502,48,48,501,499,48,500,1002,5000,47,50,499,50,1000,50,1003,10001,5001,10000,50,998,52,1000,5000,47,500,50,50,50,1000
A2QT68NJYAJV9P	Ethan,Jake,Patrick,Bob,Daniel,Ivan,Eric,Victor,Calvin,Kenneth,George,Nathan,Quinn,Gary,Luke,Albert,Charles,Owen,David,Zach,Matt,Robert,Harry,Winston,Frank,Steve,Barry,Tom,Alex,Fred	F	electric kettle,electric kettle,electric kettle,electric kettle,laptop,laptop,watch,watch,watch,electric kettle,electric kettle,watch,electric kettle,laptop,watch,watch,watch,laptop,watch,laptop,electric kettle,watch,watch,electric kettle,laptop,electric kettle,electric kettle,electric kettle,laptop,electric kettle	500,5000,10000,10000,10000,5000,50,5000,10000,50,5000,500,10000,5000,500,500,5000,5000,10000,10000,10000,1000,10000,500,10000,5000,10000,10000,5000,1000	sharp,sharp,sharp,round,round,round,sharp,sharp,sharp,sharp,round,round,sharp,sharp,sharp,sharp,sharp,sharp,sharp,round,round,sharp,round,round,sharp,sharp,sharp,round,sharp,round	500,500,10000,500,50,500,50,500,500,50,500,50,500,5000,50,50,5000,1000,50,500,1000,500,5000,50,50,5000,5000,50,500,50	round,sharp,sharp,round,sharp,sharp,round,round,round,sharp,round,round,round,sharp,sharp,round,sharp,round,round,sharp,sharp,round,round,sharp,sharp,sharp,sharp,round,sharp,round	-0.241790882259,0.765671127152,0.765671127152,0.765671127152,-0.241790882259,0.664924926211,-2.25671490108,0.765671127152,0.664924926211,-2.15596870014,0.664924926211,0.765671127152,0.765671127152,-1.24925289167,-0.241790882259,-0.3425370832,-1.24925289167,-0.3425370832,0.664924926211,0.765671127152,-2.25671490108,-0.241790882259,0.765671127152,-0.241790882259,0.664924926211,-1.24925289167,0.664924926211,0.664924926211,0.765671127152,0.765671127152	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	6	45	34,48,60,22,146,138,91,104,112,32,14,63,52,170,95,93,110,165,111,147,28,98,84,5,176,50,59,21,168,7	502,5002,10002,10000,10000,5000,53,4999,9999,51,5000,500,9997,5003,501,498,5001,4997,10001,10000,10000,1003,10000,500,10003,5002,9998,10000,4999,1000	500,501,10002,500,53,501,50,500,500,51,500,50,500,5003,51,50,5001,1000,50,503,999,500,5000,51,52,5002,4998,50,498,50
A3RYI5HXC2MJLN	Jake,Winston,Owen,George,Kenneth,Ivan,Robert,Charles,Fred,Tom,Steve,David,Albert,Gary,Nathan,Zach,Bob,Alex,Patrick,Matt,Daniel,Luke,Harry,Calvin,Victor,Quinn,Eric,Barry,Ethan,Frank	M	watch,watch,laptop,laptop,laptop,electric kettle,electric kettle,electric kettle,laptop,laptop,watch,laptop,electric kettle,electric kettle,electric kettle,laptop,electric kettle,electric kettle,laptop,laptop,electric kettle,electric kettle,electric kettle,electric kettle,watch,watch,laptop,watch,laptop,watch	10000,5000,10000,500,10000,10000,5000,1000,50,10000,5000,5000,5000,1000,10000,10000,500,5000,5000,5000,1000,10000,1000,50,5000,1000,5000,50,10000,5000	round,sharp,sharp,sharp,round,sharp,round,sharp,round,round,sharp,round,sharp,sharp,sharp,round,sharp,round,sharp,round,sharp,sharp,round,sharp,round,sharp,sharp,round,sharp,round	5000,500,500,50,50,10000,5000,500,50,10000,1000,500,5000,1000,1000,500,500,500,500,500,500,50,1000,50,50,1000,1000,50,500,5000	sharp,sharp,sharp,sharp,sharp,round,round,sharp,round,round,round,sharp,sharp,sharp,sharp,round,round,sharp,round,round,round,sharp,sharp,round,sharp,sharp,sharp,sharp,round,sharp	-0.932832247666,-0.932832247666,-1.20585632015,1.66089644097,-1.06934428391,2.88950476716,0.295776078528,1.52438440472,0.295776078528,0.295776078528,-1.06934428391,-1.20585632015,0.568800151016,0.568800151016,-0.386784102691,-1.3423683564,1.11484829599,-0.659808175178,-0.659808175178,-1.06934428391,-0.386784102691,0.568800151016,0.841824223503,0.568800151016,-0.523296138934,0.295776078528,0.0227520060406,0.432288114772,-0.659808175178,0.159264042284	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	35	89,108,177,155,146,55,16,41,121,145,105,138,50,42,58,142,34,18,164,134,38,56,12,31,77,102,169,62,172,80	10000,4997,10002,497,10000,9998,5000,998,50,10000,4999,5000,4998,998,9999,10000,501,5000,4999,5000,997,9999,1000,48,5000,999,4997,50,9999,5000	5002,499,503,48,53,10000,5000,498,50,10000,1000,499,4998,998,1001,500,500,497,500,500,500,53,998,50,48,999,1002,49,500,4998
AELOYBHVZFDW9	Tom,Harry,Frank,Barry,Kenneth,Quinn,David,Luke,Ethan,Bob,Charles,Matt,Winston,Eric,Robert,Fred,Zach,Steve,Albert,Jake,Daniel,Alex,George,Ivan,Owen,Victor,Patrick,Nathan,Gary,Calvin	M	electric kettle,electric kettle,watch,watch,watch,electric kettle,laptop,laptop,watch,laptop,watch,electric kettle,electric kettle,electric kettle,laptop,electric kettle,electric kettle,watch,laptop,electric kettle,electric kettle,watch,laptop,watch,electric kettle,watch,watch,electric kettle,watch,laptop	500,1000,10000,50,10000,5000,10000,1000,5000,10000,5000,50,5000,5000,1000,10000,1000,10000,10000,10000,10000,5000,10000,500,500,10000,5000,10000,10000,50	round,round,sharp,round,round,sharp,round,sharp,round,round,sharp,sharp,sharp,round,round,round,sharp,round,round,round,sharp,round,sharp,round,sharp,round,round,round,round,sharp	50,50,1000,50,1000,5000,5000,50,50,1000,50,50,50,500,500,5000,500,10000,1000,1000,500,50,5000,50,50,50,1000,500,50,50	sharp,sharp,round,sharp,round,sharp,round,sharp,round,round,round,sharp,round,round,round,sharp,round,sharp,sharp,round,sharp,sharp,round,round,round,sharp,sharp,round,round,round	0.708890114743,0.708890114743,-0.667595544952,-0.667595544952,-0.667595544952,1.32830866161,1.39713294459,-1.3558383748,-0.667595544952,-0.667595544952,-0.667595544952,0.0206472848954,-0.667595544952,1.39713294459,-0.667595544952,-1.28701409181,1.39713294459,1.39713294459,0.0206472848954,-1.3558383748,1.39713294459,-0.667595544952,1.32830866161,-0.667595544952,0.0206472848954,-0.667595544952,0.708890114743,1.39713294459,-0.598771261967,-1.28701409181	english	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	55	5,10,113,62,83,50,144,160,73,143,103,32,43,14,128,29,38,90,148,23,57,77,174,63,33,86,79,22,81,151	500,1000,10002,50,10000,4999,10000,999,5000,10000,4997,49,5002,5000,1000,10000,998,10000,10000,10000,10003,5000,9998,500,501,10000,5000,10000,10000,53	53,49,1000,51,1000,4999,5000,51,50,1000,50,49,50,500,500,5003,500,10002,999,1000,499,47,5000,50,50,53,998,500,50,50
